Feature_1,Feature_2,Target
-1.086,-0.037,0
0.318,-0.18,1
2.021,0.388,1
0.122,0.97,0
0.657,-0.541,1
1.744,-0.177,1
0.519,0.786,0
0.959,0.245,0
-0.606,0.657,0
0.685,0.716,0
0.021,1.007,0
1.603,-0.296,1
0.845,0.556,0
-0.428,0.939,0
1.839,-0.087,1
1.163,-0.468,1
0.002,0.426,1
-1.092,0.033,0
0.327,1.074,0
-0.578,0.914,0
1.103,-0.439,1
0.892,-0.502,1
0.048,0.275,1
0.459,-0.346,1
0.569,-0.472,1
0.907,-0.487,1
0.419,-0.287,1
1.457,-0.416,1
-0.71,0.66,0
0.726,0.737,0
0.143,-0.088,1
0.958,-0.539,1
1.184,-0.496,1
-0.71,0.684,0
-0.858,0.391,0
0.245,-0.098,1
0.897,0.489,0
0.926,0.132,0
1.952,0.406,1
0.058,1.032,0
-0.273,0.878,0
-0.98,0.173,0
0.343,-0.249,1
-1.009,0.329,0
1.007,0.38,0
1.991,0.219,1
0.568,0.87,0
0.992,0.196,0
-0.88,0.337,0
-0.642,0.701,0
1.424,-0.447,1
0.979,0.194,0
0.796,0.626,0
1.743,-0.148,1
1.56,-0.282,1
1.096,-0.565,1
0.848,0.507,0
-0.035,0.342,1
1.684,-0.198,1
0.189,0.914,0
0.427,-0.349,1
0.607,0.784,0
0.547,0.91,0
0.178,0.928,0
1.694,-0.224,1
0.569,0.817,0
0.052,0.213,1
0.124,0.958,0
0.504,0.792,0
1.854,0.061,1
1.937,0.121,1
1.447,-0.405,1
1.397,-0.301,1
-0.012,0.969,0
0.029,0.139,1
-0.703,0.795,0
0.139,0.03,1
0.416,-0.294,1
0.947,-0.55,1
0.868,0.373,0
1.86,0.067,1
1.77,-0.055,1
-0.95,0.556,0
0.624,0.785,0
0.934,-0.434,1
1.273,-0.463,1
0.872,0.484,0
0.514,0.877,0
1.992,0.283,1
0.498,0.82,0
-1.039,0.385,0
1.412,-0.45,1
-0.861,0.426,0
1.71,-0.045,1
-0.615,0.814,0
0.322,-0.148,1
-0.908,0.434,0
0.997,-0.459,1
1.927,0.52,1
0.119,1.006,0
-0.034,0.509,1
0.094,0.226,1
0.09,0.202,1
0.94,0.284,0
0.123,0.048,1
-0.421,0.952,0
0.731,0.728,0
-0.342,0.942,0
0.013,0.316,1
-0.489,0.908,0
0.856,0.483,0
-0.961,0.542,0
2.026,0.428,1
2.039,0.443,1
