Feature_1,Feature_2,target
0.059,0.2,1
0.203,0.944,0
-0.016,0.375,1
-0.858,0.617,0
1.634,-0.302,1
-0.52,0.975,0
1.909,0.038,1
1.05,0.149,0
0.121,0.163,1
0.91,0.419,0
0.39,-0.299,1
-0.229,0.959,0
0.226,-0.153,1
-0.632,0.769,0
0.075,0.075,1
-1.045,0.185,0
0.38,-0.31,1
-0.895,0.425,0
1.87,0.074,1
0.461,0.849,0
1.01,-0.535,1
-0.26,0.915,0
1.989,0.135,1
-0.854,0.397,0
1.976,0.191,1
0.065,0.977,0
0.109,0.109,1
-0.884,0.339,0
0.28,-0.288,1
0.004,0.972,0
2.007,0.231,1
-0.772,0.586,0
0.395,-0.351,1
0.759,0.736,0
0.207,-0.137,1
0.18,1.003,0
0.748,-0.418,1
0.725,0.651,0
0.426,-0.32,1
-0.877,0.431,0
1.995,0.393,1
-0.715,0.661,0
0.83,-0.516,1
-0.819,0.587,0
0.02,0.366,1
-0.533,0.785,0
2.029,0.2,1
-1.142,0.108,0
1.655,-0.233,1
0.924,-0.07,0
0.797,-0.498,1
-0.852,0.441,0
1.941,0.358,1
0.54,0.88,0
1.749,-0.112,1
-1.031,0.264,0
1.152,-0.459,1
-1.012,0.256,0
0.097,-0.156,1
0.983,0.037,0
0.308,-0.216,1
-0.862,0.547,0
-0.048,0.259,1
0.543,0.873,0
1.636,-0.179,1
0.756,0.621,0
0.299,-0.329,1
-0.817,0.594,0
1.644,-0.235,1
0.784,0.639,0
1.983,0.406,1
0.902,0.093,0
0.279,-0.117,1
1.054,0.123,0
0.089,0.347,1
0.909,0.283,0
1.477,-0.213,1
-0.889,0.372,0
0.007,0.355,1
0.317,0.838,0
0.163,-0.045,1
-1.026,0.248,0
1.785,0.024,1
0.051,0.993,0
0.557,-0.356,1
-0.397,0.937,0
1.704,-0.249,1
-0.944,0.516,0
1.481,-0.449,1
-0.051,0.966,0
0.587,-0.448,1
0.12,1.003,0
0.163,-0.056,1
-0.833,0.452,0
0.815,-0.498,1
-0.144,0.959,0
0.25,-0.179,1
-0.872,0.544,0
1.419,-0.413,1
0.365,0.983,0
0.487,-0.359,1
0.759,0.643,0
0.095,0.339,1
-0.438,0.822,0
1.25,-0.38,1
0.963,0.075,0
1.928,0.109,1
0.967,0.258,0
0.026,0.095,1
0.466,0.814,0
1.913,0.014,1
-0.925,0.452,0
0.239,-0.099,1
-0.566,0.854,0
0.36,-0.254,1
-0.84,0.561,0
1.343,-0.397,1
0.052,0.969,0
-0.045,0.326,1
-0.632,0.842,0
2.015,0.074,1
1.042,0.072,0
1.798,-0.034,1
0.195,0.938,0
1.809,-0.171,1
-0.709,0.717,0
0.659,-0.476,1
0.127,0.913,0
0.327,-0.104,1
-0.266,0.898,0
0.466,-0.466,1
-0.847,0.555,0
0.752,-0.426,1
0.213,0.953,0
1.863,0.363,1
0.755,0.668,0
1.65,-0.269,1
-0.094,0.995,0
0.128,-0.019,1
0.92,0.314,0
0.266,-0.139,1
0.555,0.83,0
