a,b,c,d,target
1.88,-2.14,1.56,-1.52,1
-0.02,0.35,0.16,-0.02,0
0.29,-0.47,0.18,-0.22,1
0.51,-0.35,0.54,-0.44,0
1.03,-1.07,0.91,-0.85,1
1.01,-1.11,0.85,-0.82,0
0.27,0.67,0.72,-0.32,1
-0.89,-0.44,-1.49,0.87,0
1.07,-1.07,0.96,-0.88,1
-0.72,0.39,-0.82,0.63,0
0.42,0.52,0.86,-0.44,1
0.03,-2.06,-1.02,0.19,0
1.49,-1.79,1.19,-1.2,1
-0.46,-0.88,-1.1,0.52,0
0.69,1.29,1.63,-0.77,1
-0.25,-1.28,-1.01,0.37,0
0.1,0.5,0.4,-0.15,1
-0.04,-0.53,-0.33,0.1,0
1.16,-1.07,1.09,-0.96,1
0.03,0.43,0.26,-0.07,0
0.97,-0.83,0.94,-0.81,1
-0.88,1.42,-0.52,0.67,0
0.35,0.28,0.63,-0.35,1
-1.06,-1.32,-2.18,1.12,0
0.79,-0.47,0.87,-0.68,1
-1.77,2.05,-1.44,1.42,0
0.25,-0.85,-0.09,-0.14,1
-2.37,2.71,-1.96,1.91,0
0.66,2.26,2.09,-0.85,1
0.04,-2.29,-1.12,0.2,0
0.41,1.52,1.36,-0.54,1
-1.06,0.53,-1.23,0.93,0
0.56,-0.32,0.62,-0.48,1
-0.57,-1.56,-1.61,0.69,0
1.21,-1.1,1.15,-1.01,1
-0.29,-0.35,-0.59,0.31,0
1.06,-1.14,0.92,-0.87,1
-0.63,0.52,-0.62,0.53,0
0.44,1.68,1.48,-0.58,1
-1.04,0.96,-0.98,0.87,0
1.03,-1.01,0.93,-0.85,1
-0.97,1.07,-0.82,0.79,0
0.79,1.31,1.79,-0.87,1
-0.84,1.16,-0.59,0.66,0
0.0,-0.47,-0.24,0.05,1
-1.37,1.55,-1.14,1.11,0
0.26,1.14,0.96,-0.36,1
-0.48,-0.54,-0.96,0.5,0
1.09,-0.89,1.09,-0.92,1
-1.36,0.89,-1.46,1.16,0
0.65,2.73,2.32,-0.89,1
-1.49,2.11,-1.02,1.16,0
1.08,-0.91,1.06,-0.9,1
-0.82,0.83,-0.73,0.67,0
0.28,1.09,0.96,-0.37,1
-0.09,-2.05,-1.18,0.3,0
0.09,-1.88,-0.84,0.12,1
-0.98,-0.91,-1.85,1.0,0
0.51,-0.3,0.57,-0.44,1
-1.14,0.02,-1.6,1.05,0
1.24,-1.18,1.14,-1.02,1
-0.91,0.92,-0.81,0.75,0
0.15,-0.51,-0.05,-0.08,1
0.0,-0.66,-0.33,0.07,0
0.12,1.51,0.95,-0.27,1
-0.08,-0.78,-0.51,0.15,0
0.86,-0.68,0.86,-0.72,1
0.3,-2.25,-0.74,-0.04,0
1.37,-1.36,1.24,-1.13,1
-0.5,1.1,-0.13,0.34,0
0.27,0.5,0.64,-0.3,1
-0.87,1.46,-0.48,0.65,0
0.5,2.16,1.82,-0.69,1
-0.24,-0.47,-0.58,0.27,0
0.4,2.1,1.65,-0.59,1
-0.84,-2.39,-2.42,1.03,0
0.76,2.57,2.39,-0.97,1
-0.29,-0.41,-0.63,0.32,0
1.67,-1.71,1.48,-1.37,1
-0.99,0.77,-1.0,0.84,0
0.83,-0.6,0.86,-0.7,1
-0.65,-0.21,-1.02,0.62,0
0.27,1.51,1.15,-0.41,1
-0.71,-0.7,-1.36,0.73,0
0.9,-0.41,1.06,-0.79,1
-0.83,0.3,-1.02,0.74,0
0.31,1.51,1.22,-0.45,1
-1.83,1.74,-1.69,1.51,0
0.57,-0.2,0.71,-0.51,1
-1.28,-1.13,-2.39,1.3,0
0.13,0.43,0.41,-0.17,1
-1.58,0.64,-1.9,1.39,0
0.15,0.73,0.59,-0.22,1
0.5,-1.87,-0.26,-0.27,0
0.9,-0.61,0.96,-0.77,1
-1.39,1.58,-1.15,1.12,0
1.02,-0.91,0.97,-0.85,1
0.15,-0.47,-0.03,-0.09,0
0.29,1.21,1.03,-0.39,1
-0.9,0.41,-1.06,0.79,0
0.99,-1.08,0.84,-0.8,1
-1.37,0.75,-1.55,1.19,0
1.17,-1.06,1.11,-0.97,1
-1.38,0.63,-1.63,1.21,0
1.12,-1.01,1.07,-0.93,1
-0.36,-0.08,-0.55,0.34,0
1.33,-1.46,1.13,-1.08,1
0.46,-1.55,-0.15,-0.26,0
0.06,1.28,0.75,-0.19,1
-0.64,1.37,-0.2,0.45,0
0.51,-0.14,0.64,-0.45,1
0.42,-2.16,-0.53,-0.16,0
0.33,1.45,1.21,-0.46,1
-0.13,-1.99,-1.2,0.32,0
1.07,-0.87,1.07,-0.9,1
-1.18,-0.18,-1.76,1.11,0
-0.14,0.87,0.25,0.04,1
-0.46,0.03,-0.64,0.43,0
0.58,1.2,1.43,-0.66,1
-0.33,-0.95,-0.96,0.41,0
0.63,-0.34,0.71,-0.55,1
-1.73,1.27,-1.8,1.47,0
0.33,0.84,0.91,-0.4,1
-0.58,-1.32,-1.49,0.67,0
0.26,-0.35,0.19,-0.21,1
-1.5,0.72,-1.75,1.31,0
1.56,-1.79,1.27,-1.25,1
0.49,-0.68,0.34,-0.38,0
1.22,-1.33,1.03,-0.99,1
-1.2,2.05,-0.64,0.89,0
1.09,-0.75,1.15,-0.93,1
-1.11,0.93,-1.08,0.93,0
0.3,1.71,1.31,-0.46,1
-1.33,3.12,-0.28,0.91,0
0.43,1.28,1.27,-0.53,1
0.19,-1.32,-0.41,-0.04,0
0.74,2.1,2.13,-0.91,1
-0.42,-1.88,-1.57,0.59,0
0.57,1.24,1.44,-0.66,1
-0.82,1.12,-0.58,0.64,0
0.55,-0.21,0.67,-0.49,1
-0.87,0.85,-0.8,0.72,0
-0.03,0.57,0.25,-0.03,1
0.43,-1.46,-0.14,-0.25,0
1.54,-1.87,1.22,-1.23,1
-1.05,0.13,-1.42,0.96,0
0.04,0.91,0.52,-0.13,1
-1.78,1.22,-1.89,1.52,0
0.78,-0.37,0.92,-0.69,1
-1.39,2.13,-0.87,1.07,0
0.03,-0.26,-0.09,-0.0,1
-0.15,-0.02,-0.22,0.14,0
1.25,-1.37,1.07,-1.02,1
-2.08,1.38,-2.23,1.78,0
1.0,-0.91,0.94,-0.83,1
-0.76,0.79,-0.67,0.62,0
-0.18,-1.55,-1.06,0.33,1
0.6,0.58,1.15,-0.62,0
0.82,-0.69,0.81,-0.69,1
-1.15,1.55,-0.83,0.91,0
0.0,-0.62,-0.32,0.06,1
-1.34,1.59,-1.07,1.07,0
1.33,-1.44,1.14,-1.08,1
-1.2,0.65,-1.36,1.04,0
0.76,-0.64,0.74,-0.64,1
-1.18,-0.17,-1.75,1.11,0
0.19,-0.11,0.21,-0.16,1
-1.18,1.11,-1.1,0.98,0
0.52,-0.1,0.69,-0.48,1
0.14,-0.61,-0.12,-0.07,0
0.87,2.77,2.65,-1.1,1
-0.07,-0.61,-0.41,0.13,0
1.16,-1.07,1.08,-0.96,1
0.92,-2.05,0.25,-0.64,0
0.88,-0.62,0.92,-0.75,1
-0.76,-1.37,-1.78,0.85,0
1.55,-1.72,1.3,-1.25,1
0.69,-1.31,0.3,-0.5,0
1.27,-1.03,1.26,-1.06,1
-0.65,0.18,-0.83,0.58,0
0.08,0.6,0.43,-0.14,1
0.52,-2.42,-0.51,-0.23,0
1.23,-1.09,1.18,-1.03,1
-1.18,1.84,-0.72,0.9,0
0.29,1.21,1.03,-0.39,1
-1.39,1.64,-1.12,1.12,0
0.44,-0.19,0.52,-0.39,1
-0.37,0.01,-0.52,0.34,0
0.39,0.25,0.68,-0.39,1
-0.93,0.25,-1.18,0.83,0
1.39,-1.59,1.15,-1.12,1
-2.06,2.57,-1.58,1.64,0
1.45,-1.42,1.32,-1.19,1
-1.23,0.43,-1.51,1.09,0
0.78,-0.68,0.75,-0.65,1
-0.62,1.37,-0.17,0.43,0
0.21,0.44,0.53,-0.25,1
-1.33,1.35,-1.18,1.09,0
0.67,2.55,2.25,-0.88,1
-1.62,1.71,-1.4,1.32,0
0.85,2.97,2.72,-1.1,1
-0.29,-0.61,-0.72,0.33,0
0.83,-0.5,0.92,-0.72,1
-0.76,1.09,-0.51,0.59,0
1.06,-0.75,1.11,-0.9,1
-1.49,-1.94,-3.1,1.58,0
0.46,0.88,1.1,-0.52,1
-0.84,1.38,-0.48,0.64,0
0.3,0.07,0.45,-0.28,1
-2.12,1.74,-2.1,1.78,0
0.28,1.03,0.92,-0.37,1
-1.55,2.71,-0.8,1.15,0
1.21,-1.24,1.08,-0.99,1
-0.26,-1.13,-0.95,0.36,0
-0.11,-1.17,-0.76,0.23,1
-1.46,0.89,-1.6,1.26,0
0.9,-0.57,0.98,-0.78,1
-0.15,-1.86,-1.16,0.33,0
1.38,-1.12,1.37,-1.16,1
-1.8,2.18,-1.42,1.44,0
0.42,1.31,1.27,-0.53,1
0.61,-0.18,0.77,-0.55,0
0.58,-0.27,0.69,-0.51,1
-0.94,0.83,-0.89,0.78,0
0.26,0.94,0.85,-0.34,1
-0.39,-0.47,-0.79,0.41,0
1.59,-1.83,1.31,-1.28,1
-1.12,0.73,-1.21,0.96,0
1.06,-0.97,1.0,-0.88,1
-0.24,-0.88,-0.79,0.31,0
1.31,-1.24,1.21,-1.08,1
-0.66,-0.94,-1.41,0.71,0
0.3,1.26,1.07,-0.41,1
-0.31,-0.48,-0.69,0.34,0
0.93,-0.72,0.94,-0.78,1
0.07,-2.22,-1.04,0.17,0
0.53,2.41,2.0,-0.75,1
0.38,-1.34,-0.15,-0.21,0
0.99,-0.92,0.92,-0.82,1
-1.0,0.29,-1.26,0.9,0
1.44,-1.39,1.32,-1.19,1
-0.18,-0.85,-0.69,0.25,0
0.12,-0.24,0.05,-0.09,1
-1.05,0.34,-1.31,0.94,0
1.32,-1.63,1.03,-1.05,1
-1.94,1.75,-1.84,1.61,0
0.29,1.06,0.96,-0.38,1
-0.39,-1.6,-1.38,0.53,0
0.8,2.36,2.34,-0.99,1
-0.6,-0.04,-0.87,0.56,0
0.69,3.17,2.61,-0.97,1
-0.2,-1.76,-1.19,0.37,0
0.3,0.43,0.64,-0.32,1
-1.0,1.63,-0.58,0.76,0
0.61,2.63,2.22,-0.84,1
-0.91,0.83,-0.86,0.75,0
0.75,-0.35,0.88,-0.66,1
-0.77,-1.41,-1.82,0.86,0
0.41,0.75,0.97,-0.46,1
0.27,-1.95,-0.61,-0.05,0
1.99,-2.39,1.58,-1.59,1
-1.01,-0.32,-1.59,0.97,0
0.45,-0.12,0.57,-0.4,1
0.48,-0.46,0.44,-0.4,0
0.79,-0.94,0.63,-0.63,1
-0.72,-0.63,-1.34,0.73,0
0.82,2.08,2.23,-0.98,1
-0.55,-1.04,-1.31,0.62,0
0.36,-0.07,0.47,-0.32,1
0.36,-1.23,-0.12,-0.21,0
0.86,-0.65,0.88,-0.73,1
-0.9,0.41,-1.06,0.79,0
0.32,0.51,0.71,-0.35,1
-1.41,-1.72,-2.87,1.48,0
0.67,-0.3,0.79,-0.59,1
-1.1,-0.13,-1.63,1.04,0
1.46,-1.75,1.17,-1.17,1
-1.41,1.98,-0.98,1.1,0
0.56,2.13,1.89,-0.74,1
-0.36,-1.6,-1.33,0.5,0
0.47,1.91,1.65,-0.64,1
-0.29,0.16,-0.33,0.25,0
0.31,-0.53,0.17,-0.23,1
-0.55,-0.21,-0.89,0.54,0
0.21,0.0,0.29,-0.19,1
0.05,-1.42,-0.66,0.11,0
0.39,-0.13,0.48,-0.34,1
-0.67,0.08,-0.91,0.61,0
0.51,2.12,1.81,-0.69,1
-0.3,-0.03,-0.44,0.28,0
1.34,-1.38,1.18,-1.1,1
-1.83,2.51,-1.29,1.43,0
0.43,-0.47,0.36,-0.35,1
-2.29,2.33,-2.04,1.88,0
0.18,0.18,0.34,-0.18,1
-0.43,-1.03,-1.14,0.51,0
0.46,-0.18,0.56,-0.41,1
-2.2,1.8,-2.18,1.85,0
0.57,1.37,1.51,-0.67,1
-1.85,1.47,-1.86,1.56,0
